age,income,land_area,rainfall_last_year,market_price,upi_usage_score,crop_type_rice,crop_type_sugarcane,crop_type_wheat,Loan_Eligible
56,31719,3.7,885,2287,0.44,1,0,0,1
46,57919,1.61,935,1588,0.82,0,0,1,1
32,47839,1.47,1112,1393,0.5,0,0,1,1
60,39782,1.05,492,1075,0.4,0,1,0,1
25,38389,1.24,810,1217,0.92,0,0,1,1
38,31621,2.62,679,1123,0.46,0,0,1,1
56,22009,2.11,1008,1659,0.15,1,0,0,1
36,20258,3.65,590,1893,0.37,0,1,0,1
40,46915,1.32,1073,1770,0.98,0,1,0,1
28,37374,2.92,622,1799,0.16,0,1,0,1
28,19721,3.79,1019,1866,0.77,0,1,0,1
41,56915,1.82,647,2484,0.44,1,0,0,1
53,28936,2.88,728,2029,0.72,1,0,0,1
57,37781,0.8,620,1658,0.31,1,0,0,1
41,34315,4.83,1138,2450,0.09,0,1,0,1
20,14985,1.47,682,1258,0.52,1,0,0,1
39,33867,4.32,869,1091,0.66,0,0,1,1
19,16492,3.06,991,1594,0.59,0,0,1,1
41,41371,0.97,958,1321,0.24,1,0,0,1
61,49077,2.61,558,1609,0.92,0,1,0,1
47,44956,2.59,666,1635,0.3,0,1,0,1
55,39179,2.58,895,1068,0.63,0,1,0,1
19,22315,3.13,564,1774,0.21,1,0,0,1
38,21268,4.1,708,2498,0.19,1,0,0,1
50,11197,2.97,484,1317,0.82,0,1,0,1
29,19005,3.64,1141,2181,0.86,1,0,0,1
39,48736,1.33,719,1807,0.18,0,1,0,1
61,52045,2.91,886,1310,0.25,0,0,1,1
42,42963,0.94,512,1893,0.74,0,0,1,1
44,16727,4.37,606,1537,0.05,1,0,0,1
59,38761,3.81,475,2482,0.78,0,1,0,1
45,54640,2.22,801,1214,0.12,0,0,1,1
33,51599,1.29,1110,2317,0.94,0,0,1,1
32,51355,3.62,587,2496,0.34,1,0,0,1
64,19676,2.9,755,1402,0.11,0,1,0,1
