age,income,land_area,rainfall_last_year,market_price,upi_usage_score,crop_type_rice,crop_type_sugarcane,crop_type_wheat,Loan_Eligible
39,40127,4.85,918,2287,0.84,0,0,1,1
46,52099,2.52,982,2369,0.92,0,0,1,1
61,53885,3.0,1136,1953,0.89,1,0,0,1
30,47460,3.1,902,2163,0.83,0,1,0,1
46,12720,0.53,504,1155,0.24,1,0,0,0
30,17751,1.16,438,1087,0.1,1,0,0,0
64,57719,3.4,1089,1572,0.74,0,0,1,1
46,14263,0.86,445,1307,0.08,1,0,0,0
38,38614,4.63,1106,1723,0.97,0,1,0,1
52,16242,0.29,448,1027,0.36,1,0,0,0
54,24539,0.37,553,1521,0.34,0,1,0,0
50,24879,1.09,337,1322,0.14,0,0,1,0
54,47314,4.07,1111,2326,0.86,1,0,0,1
35,41008,2.97,941,2256,0.84,1,0,0,1
22,57737,2.47,971,1611,0.82,0,1,0,1
63,36197,2.35,1162,1741,0.79,0,0,1,1
23,12884,1.2,547,1145,0.36,1,0,0,0
53,46049,2.16,920,1616,0.7,0,1,0,1
33,55322,2.39,1162,1675,0.98,1,0,0,1
25,37311,3.18,922,2314,0.92,0,1,0,1
53,19225,1.16,579,1389,0.02,1,0,0,0
25,24179,1.14,411,1096,0.25,0,0,1,0
42,56755,4.61,984,2275,0.73,1,0,0,1
33,15031,1.32,391,1147,0.21,1,0,0,0
51,21196,0.46,382,1362,0.27,0,0,1,0
58,22951,1.09,559,1429,0.41,0,0,1,0
22,15694,0.59,491,1203,0.05,1,0,0,0
36,31366,4.59,954,1808,0.99,1,0,0,1
36,11201,1.28,391,1248,0.27,1,0,0,0
51,14263,0.11,578,1003,0.21,0,1,0,0
49,12523,0.69,383,1072,0.48,1,0,0,0
59,24364,0.91,575,1046,0.29,0,0,1,0
25,24267,1.45,351,1560,0.45,0,1,0,0
38,56597,4.69,892,1511,0.84,1,0,0,1
39,18534,0.54,416,1169,0.19,0,0,1,0
59,58352,5.0,940,1571,0.86,1,0,0,1
23,36083,2.36,887,1731,0.84,0,0,1,1
33,14166,0.15,418,1329,0.37,1,0,0,0
58,24732,0.5,393,1412,0.49,0,0,1,0
31,22244,1.32,414,1332,0.36,1,0,0,0
38,41230,3.2,822,1936,0.99,1,0,0,1
63,24348,0.34,351,1364,0.22,1,0,0,0
29,48163,3.95,1087,2418,0.96,0,0,1,1
61,44054,4.7,936,2057,0.94,0,0,1,1
60,24844,1.16,412,1581,0.2,0,1,0,0
25,20249,0.98,383,1564,0.26,0,0,1,0
59,56909,2.84,865,2398,0.7,0,1,0,1
31,37084,4.28,1100,1851,0.79,1,0,0,1
24,13579,1.36,594,1079,0.13,0,1,0,0
53,23838,0.24,515,1276,0.05,0,0,1,0
43,58043,3.41,948,1984,0.85,0,1,0,1
25,55130,3.51,872,1991,0.88,1,0,0,1
27,14918,0.82,567,1006,0.49,1,0,0,0
61,57400,4.69,1010,1929,0.88,0,0,1,1
60,52593,3.43,1081,2101,0.79,0,0,1,1
28,39655,4.06,865,2202,0.8,1,0,0,1
49,41559,2.65,1109,2343,0.75,0,1,0,1
27,20912,0.93,533,1490,0.31,0,0,1,0
25,10908,0.85,571,1484,0.46,0,1,0,0
21,35271,4.94,1151,2099,0.88,1,0,0,1
20,38897,3.72,887,1956,0.85,1,0,0,1
58,24055,1.37,413,1182,0.42,1,0,0,0
